     n      m             Cnm             Snm 
    29     26    7.860518E-09   -6.813457E-09 
    29     27   -7.731788E-09   -7.120554E-10 
    29     28    9.535871E-09   -5.740748E-09 
    29     29    1.280480E-08   -5.214492E-09 
    30      0    6.254639E-09    6.254639E-09 
    30      1    2.728174E-10    1.084578E-09 
    30      2   -9.963963E-09   -1.171963E-09 
    30      3    3.916846E-09   -1.373604E-08 
    30      4   -1.666794E-09   -3.757565E-09 
    30      5   -2.635701E-09   -5.675136E-09 
    30      6   -1.596934E-10    8.360452E-10 
    30      7    2.393101E-09    3.813926E-09 
    30      8    4.656782E-09    3.270654E-09 
    30      9   -8.021682E-09   -1.170955E-08 
    30     10    4.888445E-09   -4.957179E-09 
    30     11   -9.549439E-09    1.038755E-08 
    30     12    1.709849E-08   -1.073736E-08 
    30     13    1.379444E-08    2.979579E-09 
    30     14    4.836926E-09    8.122581E-09 
    30     15    6.557540E-10   -1.063717E-09 
    30     16   -1.056714E-08    4.142303E-09 
    30     17   -6.885542E-09   -5.874970E-09 
    30     18   -1.116261E-08   -7.965948E-09 
    30     19   -1.363078E-08    2.749508E-09 
    30     20   -5.222581E-09    1.333909E-08 
    30     21   -1.166521E-08   -5.543738E-09 
    30     22   -5.244283E-09   -8.707699E-09 
    30     23    5.392338E-09   -1.097578E-08 
    30     24   -2.739566E-09   -2.580932E-09 
    30     25    3.078592E-09   -1.571961E-08 
    30     26    1.357945E-09    1.255237E-08 
    30     27   -7.730067E-09    1.255422E-08 
    30     28   -5.825245E-09   -8.092863E-09 
    30     29    3.939183E-09    1.876236E-09 
    30     30    2.586580E-09    8.474417E-09 
    31      0    6.761258E-09    6.761258E-09 
    31      1    7.122702E-09   -1.847521E-08 
    31      2    6.261522E-09    5.114813E-09 
    31      3   -6.594137E-09   -7.542891E-09 
    31      4    1.138996E-08   -5.173818E-09 
    31      5   -1.148104E-08    5.456838E-09 
    31      6   -8.547392E-11   -2.930458E-10 
    31      7   -1.507477E-09   -1.341487E-09 
    31      8   -3.132458E-09    2.139706E-09 
    31      9    9.052172E-10    5.848572E-09 
    31     10    4.370536E-09   -4.892678E-09 
    31     11    1.985775E-09    2.170460E-08 
    31     12    5.735697E-10    3.994627E-09 
    31     13    9.756992E-09    4.666982E-09 
    31     14   -8.055260E-09    3.232521E-09 
    31     15    4.159133E-09   -2.363258E-09 
    31     16   -6.881947E-09    6.142663E-09 
    31     17   -2.944777E-09    6.852598E-09 
    31     18   -5.293371E-10   -2.426679E-09 
    31     19    2.139261E-09    4.768462E-09 
    31     20   -2.449221E-09    5.732573E-09 
    31     21   -9.954472E-09    7.432584E-09 
    31     22   -9.888862E-09   -1.123001E-08 
    31     23    8.063509E-09    4.306616E-09 
    31     24   -2.892337E-09   -3.715651E-09 
    31     25   -1.664086E-08   -1.762738E-09 
    31     26   -1.285473E-08    1.782263E-09 
    31     27   -1.136573E-09    1.103290E-08 
    31     28    1.021149E-08    2.842730E-09 
    31     29   -2.022250E-09   -2.323199E-09 
    31     30   -8.256143E-10   -8.135332E-09 
    31     31   -8.819605E-09   -1.582006E-09 
    32      0   -2.402881E-09   -2.402881E-09 
    32      1   -7.623398E-11    3.575896E-09 
    32      2    1.150357E-08   -2.872863E-09 
    32      3   -4.206524E-10    3.738673E-09 
    32      4    1.973768E-09   -7.306202E-09 
    32      5    9.631908E-09    1.279551E-09 
    32      6   -1.118752E-08   -8.394674E-09 
    32      7    1.047386E-09    4.453756E-09 
    32      8    1.344042E-08    7.284357E-09 
    32      9    5.478028E-09   -1.484324E-09 
    32     10   -1.416627E-09   -4.991638E-09 
    32     11   -3.527731E-09    7.912606E-09 
    32     12   -1.708063E-08    1.374077E-08 
    32     13    4.138881E-09    4.777217E-09 
    32     14   -5.530793E-09    1.961105E-09 
    32     15    4.837687E-09   -8.419731E-09 
    32     16    3.737269E-09    3.871841E-09 
    32     17   -6.506697E-09    1.008698E-08 
    32     18    1.302441E-08   -1.765419E-09 
    32     19    7.023704E-10   -2.872722E-09 
    32     20    2.964497E-09   -1.346462E-10 
    32     21   -2.384483E-09    1.169754E-08 
    32     22   -1.227825E-08   -2.363792E-09 
    32     23    7.666938E-09   -2.506167E-09 
    32     24   -3.750927E-09    1.424093E-10 
    32     25   -1.933626E-08   -5.803408E-09 
    32     26    5.365162E-09   -3.830760E-09 
    32     27   -5.054871E-09   -6.699042E-09 
    32     28    1.577316E-09   -5.701787E-09 
    32     29    3.749098E-09    2.994125E-09 
    32     30   -6.920799E-09    1.334669E-09 
    32     31   -6.092528E-09   -2.942773E-10 
    32     32    3.475449E-09    1.267988E-09 
    33      0   -3.633200E-09   -3.633200E-09 
    33      1   -1.750457E-09   -3.888698E-09 
    33      2   -6.056602E-09    2.323365E-09 
    33      3   -3.890843E-10    6.159112E-09 
    33      4   -6.406114E-09    5.089901E-09 
    33      5   -3.243956E-10    4.278208E-09 
    33      6    5.147609E-10   -2.598892E-09 
    33      7   -3.737247E-09    7.390595E-10 
    33      8   -4.000414E-09    1.508363E-08 
    33      9    5.241450E-09    1.098657E-08 
    33     10   -1.605867E-09    1.144936E-09 
    33     11    2.050191E-09   -6.682035E-09 
    33     12   -1.001050E-09    9.692578E-09 
    33     13    2.060007E-09    2.974846E-09 
    33     14    4.882989E-09    5.647834E-09 
