     n      m             Cnm             Snm 
    26     26    6.656369E-10    2.078864E-09 
    27      0    3.617192E-09    3.617192E-09 
    27      1    2.862853E-09    1.588213E-09 
    27      2    6.623388E-10   -6.197229E-10 
    27      3    3.532379E-09    1.048499E-08 
    27      4   -1.599564E-09    8.056851E-09 
    27      5    1.460890E-08    1.499122E-08 
    27      6    4.965890E-09    6.414935E-09 
    27      7   -1.113175E-08   -6.904769E-09 
    27      8   -8.038414E-09   -8.764017E-09 
    27      9    3.065642E-09    1.126983E-08 
    27     10   -1.351350E-08    1.269823E-09 
    27     11    2.238281E-09   -9.438700E-09 
    27     12   -1.096409E-08    2.069242E-09 
    27     13   -4.573631E-09   -4.672813E-09 
    27     14    1.533799E-08    1.182056E-08 
    27     15   -2.130923E-09    1.471773E-09 
    27     16    2.570602E-09    3.167616E-09 
    27     17    4.424653E-09    5.056384E-10 
    27     18   -2.071603E-09    7.876869E-09 
    27     19   -2.716177E-10   -2.401206E-09 
    27     20   -1.270534E-09    3.659712E-09 
    27     21    4.925553E-09   -6.650488E-09 
    27     22   -5.818831E-09    2.890443E-09 
    27     23   -5.322323E-09   -1.159648E-08 
    27     24    3.806659E-10   -2.240084E-09 
    27     25    1.208946E-08    6.010594E-09 
    27     26   -6.830387E-09   -2.387331E-09 
    27     27    8.060740E-09    1.064946E-09 
    28      0   -9.775686E-09   -9.775686E-09 
    28      1   -5.275933E-09    8.717972E-09 
    28      2   -1.501210E-08   -8.252976E-09 
    28      3    2.901658E-09    1.018378E-08 
    28      4   -1.413702E-09    1.128461E-08 
    28      5    1.196971E-08   -4.721760E-09 
    28      6   -4.611713E-09    1.292716E-08 
    28      7   -2.585560E-09    5.653486E-09 
    28      8   -3.067799E-09   -1.757937E-09 
    28      9    9.280907E-09   -1.269536E-08 
    28     10   -1.062795E-08    7.967289E-09 
    28     11   -3.543337E-09   -1.837766E-09 
    28     12   -8.666428E-10    1.033807E-08 
    28     13    2.125910E-09    5.899952E-09 
    28     14   -8.119709E-09   -1.286110E-08 
    28     15   -1.224844E-08   -2.185685E-09 
    28     16   -4.640687E-09   -1.327989E-08 
    28     17    1.379585E-08   -4.980342E-09 
    28     18    5.706047E-09   -3.334016E-09 
    28     19    6.275769E-09    2.410751E-08 
    28     20   -1.521633E-09    6.498231E-09 
    28     21    6.776304E-09    6.614719E-09 
    28     22   -2.234418E-09   -7.310411E-09 
    28     23    6.887961E-09    2.667993E-09 
    28     24    1.105689E-08   -1.388693E-08 
    28     25    7.367588E-09   -1.745023E-08 
    28     26    1.206966E-08    3.828135E-09 
    28     27   -8.032358E-09    1.206056E-09 
    28     28    6.814810E-09    6.683611E-09 
    29      0   -5.276227E-09   -5.276227E-09 
    29      1    4.029708E-09   -1.352751E-08 
    29      2   -2.378399E-09   -2.445032E-09 
    29      3    3.815026E-09   -1.157533E-08 
    29      4   -2.538995E-08    2.400066E-09 
    29      5   -7.982723E-09    5.956389E-09 
    29      6    1.164881E-08    1.038573E-08 
    29      7   -3.589715E-09   -3.149916E-09 
    29      8   -1.957822E-08    9.578382E-09 
    29      9    7.595319E-11    2.692189E-09 
    29     10    1.375884E-08    5.563382E-11 
    29     11   -6.228948E-09    6.867651E-09 
    29     12   -7.792373E-10   -4.857122E-09 
    29     13   -1.449203E-09   -2.637288E-09 
    29     14   -3.078129E-09   -4.723809E-09 
    29     15   -9.482946E-09   -7.049901E-09 
    29     16    1.524659E-10   -1.468328E-08 
    29     17   -2.283228E-09   -4.710779E-09 
    29     18   -3.551681E-09   -2.822123E-09 
    29     19   -6.212574E-09    6.814827E-09 
    29     20   -8.121677E-09    5.786561E-09 
    29     21   -9.959199E-09   -5.139090E-09 
    29     22    1.171214E-08   -1.238762E-09 
    29     23   -1.912130E-09    2.219187E-09 
    29     24    3.104875E-10   -2.239101E-09 
    29     25    5.787664E-09    8.742631E-09 
    29     26    7.860825E-09   -6.813462E-09 
    29     27   -7.732850E-09   -7.115287E-10 
    29     28    9.537175E-09   -5.740230E-09 
    29     29    1.280469E-08   -5.212751E-09 
    30      0    6.254642E-09    6.254642E-09 
    30      1    2.728129E-10    1.084307E-09 
    30      2   -9.964143E-09   -1.171868E-09 
    30      3    3.916638E-09   -1.373598E-08 
    30      4   -1.666958E-09   -3.757651E-09 
    30      5   -2.635887E-09   -5.675137E-09 
    30      6   -1.597133E-10    8.360740E-10 
    30      7    2.393195E-09    3.813986E-09 
    30      8    4.657169E-09    3.270685E-09 
    30      9   -8.021755E-09   -1.170968E-08 
    30     10    4.888483E-09   -4.957212E-09 
    30     11   -9.549422E-09    1.038782E-08 
    30     12    1.709863E-08   -1.073747E-08 
    30     13    1.379428E-08    2.979339E-09 
    30     14    4.837642E-09    8.122812E-09 
    30     15    6.561511E-10   -1.063232E-09 
    30     16   -1.056723E-08    4.142561E-09 
    30     17   -6.886085E-09   -5.875092E-09 
    30     18   -1.116218E-08   -7.966105E-09 
    30     19   -1.363081E-08    2.749618E-09 
    30     20   -5.222582E-09    1.333936E-08 
    30     21   -1.166502E-08   -5.544750E-09 
    30     22   -5.246198E-09   -8.708787E-09 
    30     23    5.392284E-09   -1.097530E-08 
    30     24   -2.739145E-09   -2.581159E-09 
    30     25    3.078261E-09   -1.571909E-08 
    30     26    1.357121E-09    1.255222E-08 
    30     27   -7.730064E-09    1.255467E-08 
    30     28   -5.825582E-09   -8.092526E-09 
    30     29    3.937869E-09    1.876541E-09 
    30     30    2.585796E-09    8.474355E-09 
    31      0    6.761422E-09    6.761422E-09 
    31      1    7.122830E-09   -1.847508E-08 
    31      2    6.261609E-09    5.114656E-09 
    31      3   -6.593991E-09   -7.542923E-09 
    31      4    1.138976E-08   -5.173506E-09 
    31      5   -1.148103E-08    5.456840E-09 
    31      6   -8.558021E-11   -2.926816E-10 
    31      7   -1.507633E-09   -1.341431E-09 
    31      8   -3.132633E-09    2.139782E-09 
    31      9    9.055102E-10    5.848517E-09 
    31     10    4.370514E-09   -4.892442E-09 
    31     11    1.986043E-09    2.170465E-08 
